gene_id	expr_jan	expr_gte	expr_tcgan	satisf_jan	satisf_gte	satisf_tcgan	curr_sel	member_code
23756	5.209	4.21	11.036	1	0	1	0	1
23757	6.321	4.446	11.03	1	0	1	0	1
23758	5.868	3.86	9.626	1	0	1	0	1
23759	4.738	4.402	9.357	1	0	1	0	1
23760	4.532	4.284	10.161	1	0	1	0	1
23761	5.842	4.991	9.824	1	0	1	0	1
23762	8.429	3.838	11.377	1	0	1	0	1
23763	6.537	3.571	10.545	1	0	1	0	1
23764	3.207	3.893	8.119	1	0	1	0	1
23765	6.061	3.139	9.864	1	0	1	0	1
23766	7.968	5.732	12.601	1	0	1	0	1
23767	4.007	6.018	11.142	1	0	1	0	1
23768	6.773	5.422	13.056	1	0	1	0	1
23769	2.425	5.457	9.86	1	0	1	0	1
23770	6.782	5.92	11.823	1	0	1	0	1
23771	3.167	7.207	13.88	1	0	1	0	1
23772	1.981	2.231	9.908	1	0	1	0	1
23773	1.596	4.453	8.622	0	0	1	0	1
23774	7.466	4.599	10.841	1	0	1	0	1
23775	2.422	4.314	9.904	1	0	1	0	1
23776	1.619	2.671	8.196	1	0	1	0	1
23777	5.449	5.213	11.625	1	0	1	0	1
23778	2.586	4.5	10.068	1	0	1	0	1
23779	2.069	3.792	9.901	1	0	1	0	1
23780	6.165	4.312	12.361	1	0	1	0	1
23781	4.179	5.106	10.837	1	0	1	0	1
23782	3.065	4.142	9.379	1	0	1	0	1
23783	3.488	1.204	6.408	1	1	1	1	1
23784	6.949	5.681	11.38	1	0	1	0	1
23785	5.483	4.772	11.208	1	0	1	0	1
23786	4.258	3.473	9.166	1	0	1	0	1
23787	3.532	0.538	1.196	1	1	0	0	6
23788	5.77	1.566	3.553	1	1	0	0	6
23789	10.257	3.342	7.638	1	0	1	0	7
23790	2.967	2.087	6.137	1	0	0	0	1
23791	7.589	0.865	2.868	1	1	0	0	6
23792	2.407	4.342	9.841	1	0	1	0	1
23793	11.337	0.572	2.645	1	1	0	0	6
23794	2.335	5.646	10.522	1	0	1	0	1
23795	2.96	3.12	10.503	1	0	1	0	1
23796	8.358	8.394	13.742	1	0	1	0	1
23797	5.977	4.797	12.61	1	0	1	0	1
23798	5.194	4.587	11.689	1	0	1	0	1
23799	4.799	5.834	12.825	1	0	1	0	1
23800	7.044	4.401	9.289	1	0	1	0	1
23801	3.186	1.628	9.659	1	1	1	1	1
23802	4.772	3.234	9.932	1	0	1	0	1
23803	4.207	0.13	0.244	1	1	0	0	6
23804	5.785	4.184	12.201	1	0	1	0	1
23805	5.258	6.036	11.594	1	0	1	0	1
23806	3.804	3.791	11.348	1	0	1	0	1
23807	5.697	11.566	14.041	1	0	1	0	1
23808	8.772	11.953	17.883	1	0	1	0	1
23809	1.223	10.955	7.888	0	0	1	0	1
23810	9.552	10.213	17.144	1	0	1	0	1
23811	1.314	2.842	4.994	0	0	0	0	1
23812	2.079	11.464	13.633	1	0	1	0	1
23813	6.658	4.016	11.27	1	0	1	0	1
23814	11.614	0.126	1.001	1	1	0	0	6
23815	9.472	0.087	0.481	1	1	0	0	6
23816	3.005	0.147	4.491	1	1	0	0	7
23817	9.403	0.075	0.27	1	1	0	0	6
23818	4.077	8.085	13.097	1	0	1	0	1
23819	3.266	9.17	9.212	1	0	1	0	1
23820	2.314	5.481	3.907	1	0	0	0	1
23821	5.219	8.182	14.528	1	0	1	0	1
23822	5.639	5.21	10.928	1	0	1	0	1
23823	7.485	5.807	12.305	1	0	1	0	1
23824	5.139	6.193	11.2	1	0	1	0	1
23825	5.927	6.035	13.371	1	0	1	0	1
23826	8.181	5.171	13.208	1	0	1	0	1
23827	4.665	5.049	8.855	1	0	1	0	1
23828	5.291	3.267	8.988	1	0	1	0	1
23829	4.227	3.762	9.477	1	0	1	0	1
23830	4.798	2.714	9.348	1	0	1	0	1
23831	3.181	0.034	0.391	1	1	0	0	1
23832	9.17	0.097	0.532	1	1	0	0	6
23833	7.78	1.349	6.325	1	1	1	1	6
23834	2.169	4.031	11.196	1	0	1	0	1
23835	6.535	4.806	11.369	1	0	1	0	1
23836	2.126	2.994	6.894	1	0	1	0	1
23837	4.866	3.61	9.308	1	0	1	0	1
23838	7.047	1.311	10.467	1	1	1	1	1
23839	1.103	5.838	10.475	0	0	1	0	1
23840	4.693	3.764	8.109	1	0	1	0	1
23841	1.756	3.412	9.139	1	0	1	0	1
23842	2.216	4.023	11.85	1	0	1	0	1
23843	8.801	0.034	2.631	1	1	0	0	6
23844	7.121	2.322	4.254	1	0	0	0	6
23845	5.284	2.315	8.443	1	0	1	0	1
23846	6.165	4.296	11.425	1	0	1	0	1
23847	3.001	6.446	7.476	1	0	1	0	1
23848	4.778	1.993	10.521	1	0	1	0	1
23849	2.22	6.374	12.084	1	0	1	0	1
23850	5.792	3.071	10.521	1	0	1	0	1
23851	6.029	0.016	1.583	1	1	0	0	6
23852	2.314	3.89	11.027	1	0	1	0	1
23853	8.224	0.084	3.969	1	1	0	0	7
23854	3.972	0.452	3.259	1	1	0	0	6
23855	4.562	0.453	3.312	1	1	0	0	1
23856	2.214	0.058	1.229	1	1	0	0	1
23857	4.597	5.288	8.93	1	0	1	0	1
23858	4.681	4.557	8.95	1	0	1	0	1
23859	1.684	3.173	9.677	1	0	1	0	1
23860	8.915	0.297	2.693	1	1	0	0	7
23861	6.133	0.018	0.378	1	1	0	0	6
23862	6.921	0.814	4.764	1	1	0	0	6
23863	3.624	6.923	8.829	1	0	1	0	1
23864	6.452	0.018	0.134	1	1	0	0	1
23865	5.818	0.024	0.121	1	1	0	0	1
23866	5.211	0.026	16.142	1	1	1	1	1
23867	2.187	0.15	2.248	1	1	0	0	6
23868	1.336	7.049	10.612	0	0	1	0	1
