expr_val	ids_jan	ids_gte	ids_tcgan
3.2800000000000002	24110,24377,24484,24908,25584,25713,25863,26164,26184,26521,26525,26720,26946,27683,27713,27784,27985,28588,28871,29128,29453,29859,29947,30564,30731,31027,31118,32227,32980,33812,33834,33887,34006,34990,35021,35945,36372,36496,36843,36999,37084,37480,38170		
3.29	23943,24756,25047,25544,25971,26589,26628,26781,27001,27016,27970,28070,28449,28610,28821,28852,29321,29388,29595,29980,30214,30252,30412,30495,31884,32011,32084,32443,32510,32653,32683,33726,34516,35563,36189,36490,36544,36563,36713,36984,37106,37245,37340,37865		
3.3000000000000003	24854,24892,25297,25597,25734,26513,27078,27246,27382,27905,27968,28156,28558,28702,28948,29034,29089,29395,29803,30395,30548,30808,30813,31081,31760,32231,32550,32813,32939,33128,33411,34013,35192,35414,35483,35555,35713,36010,36338,36376,36608,36664,36994,37147,37327,37509,37756,37856,38450		
3.31	23653,23855,23965,25023,25084,25266,25481,25523,25783,26186,26354,26500,27021,28181,28276,28296,28297,28399,28524,28840,29043,29330,29390,29402,29652,30114,30233,30390,30598,30638,31000,31031,31130,31564,31656,31667,31943,32482,32777,32852,33246,33752,35047,35367,36206,36224,36634,37102,37136,37845,38093,38186,38238,38254,38257,38462,38663		
3.3200000000000003	23713,23990,24316,24363,24409,24484,25700,25708,25819,26250,26290,26428,26502,26948,27919,28119,28270,28276,28283,28336,29350,29413,29552,29920,30025,30644,30992,32297,32557,32726,33151,33786,33792,33949,34288,34316,34536,34917,34962,35018,35932,36013,36050,36347,36540,36571,36647,37336,37656,37851,38091,38121,38191,38434,38532,38585		
3.33	23687,24188,24471,24579,24591,24831,24903,24977,25022,25168,25244,25537,26738,27257,27727,27743,28172,28361,29440,29994,30115,30630,30955,31046,32094,32375,32492,33057,33138,33168,33520,33754,34398,34515,34572,35660,36066,36412,36883,38085,38181		
3.34	23789,24235,24547,24605,24850,24963,25151,25324,25539,26292,26695,26827,27129,27173,27252,27459,27464,27792,28102,28718,28769,28782,28848,29130,29803,30021,30286,30297,30351,30507,30537,30700,31062,31124,31181,31288,31343,31501,31558,32180,33308,33312,33443,33770,33908,34102,34551,34571,34798,34989,35190,35199,35555,35941,36824,36903,37126,37253,37269,37462,37589,37656,38216,38391,38581,38584		
3.35	23638,23750,23943,24344,24512,24513,24929,25223,26024,26224,26588,26816,26848,27876,27907,27959,28534,29500,29815,29822,30593,30851,31154,31179,31270,31695,32223,32887,32929,32973,32976,33114,33356,33771,34885,35642,35664,35929,37217,37277,37417,37812,38209		
3.36	24148,25108,26262,26468,26592,26638,26717,27224,27325,27410,27439,27461,27900,28192,28514,29206,29349,29384,29610,29628,30749,31021,31143,31272,31278,31892,31952,32002,32420,32425,32631,32749,32885,32977,33334,33501,33588,33667,33959,33993,34019,34122,34323,34558,34609,34965,34970,35015,35422,35448,35503,35769,35836,36118,36471,36653,36658,37152,37210,37239,37661,37987		
3.37	23674,23967,24626,26100,26477,26631,26712,27169,27204,27296,28191,28255,28385,28596,28612,28856,28989,29036,29394,29776,30059,30528,30576,30665,30702,31530,31551,31761,31859,31948,31972,31973,32734,32818,33234,33983,34251,34541,35242,35438,35449,35692,35932,35979,36492,36651,36799,36957,36964,37410,37460,37789,37876,38336,38393,38481,38535		
3.38	23909,24141,24891,25321,25345,25503,25507,25636,25809,25901,25933,26037,26261,26578,26953,27067,27096,27342,27655,27725,28254,28471,29645,29668,30551,30818,31634,32211,32811,32940,33019,33255,33500,33518,33774,34532,34934,35103,35140,35332,35497,35558,35823,35910,36023,36388,36431,36624,36932,37023,37119,37204,38141,38208,38285,38325,38405,38472		
3.39	23873,23930,24462,24781,24989,25015,25232,25307,25651,26067,26417,26543,26702,26770,27755,27832,28542,29194,29425,29741,29874,30533,30671,31134,31158,31294,31310,32058,32245,32266,32293,32327,33009,33096,33167,33464,33556,33696,33848,34548,34846,34983,35731,36025,36168,36169,37158,37350,37594,37602,37747,38340,38357,38574		
3.4	23644,24451,24769,26027,26086,26423,27311,27780,27882,28178,28290,28312,29076,30280,30985,31780,32005,32162,32243,32304,32603,32792,32955,33005,33502,33541,33969,34001,34293,34974,35029,35308,35374,35950,36366,36504,36767,37070,37766,38120,38228,38536,38587		
3.41	23841,23889,24080,25627,25820,25976,26415,26664,26872,27134,27572,28228,28340,28469,28619,28791,29177,29797,30590,31019,31035,31234,31277,31312,31548,31658,31744,31753,31939,32214,32310,32606,32664,32697,32736,32806,32953,33189,33230,33698,33732,33863,34072,34570,35187,36041,36469,37668		
3.42	23651,23981,24113,24158,24556,25138,25652,25838,26172,26861,26917,27228,27282,27310,27389,27399,27724,27762,27927,27994,28079,28202,28206,28336,28862,29026,29054,29105,29224,29913,30269,30421,30435,30628,31495,31515,31790,32109,32380,32481,32496,32746,33127,33573,33749,34247,34381,34536,34848,35151,35243,35612,35940,36781,37740,37811,38339,38444		
3.43	23683,24310,24544,24748,24861,25141,25299,25445,26416,26561,26910,26941,27472,27577,27592,27800,27848,28002,28801,28898,29429,29438,29585,29889,30412,30663,30688,30797,32017,32563,32805,33125,33181,33671,34055,34956,35578,35770,35995,36039,36576,36668,36709,37083,37132,38084		
3.44	24067,24111,24447,24917,25134,26003,26796,27738,28023,29016,29218,29377,29909,29952,30092,30281,30614,30926,31151,32102,32130,32249,32373,32450,33494,33589,33658,34061,34064,34272,34930,35144,35336,35340,35524,35571,35739,36175,36512,36755,37086,37239,37677,37771,37871,38288,38320,38678		
3.45	24284,24600,24610,24818,25173,25223,25628,26645,26883,27039,27110,27213,28108,28189,28499,28536,29074,29268,29925,31091,31100,31382,31438,31465,31735,32449,32580,32602,32815,32820,33273,33289,33295,33640,33862,34220,34229,35219,35337,35598,35694,35791,36478,36513,37172,37202,37945,38009,38256,38528		
3.46	23741,23998,24342,24641,24857,25352,26429,26876,26923,27316,28004,28970,29456,29522,29684,29696,29700,30883,31418,31466,32277,32395,33032,33297,33373,33663,33731,34067,34143,34742,35204,35223,35226,35259,35539,36549,36642,36700,37120,37121,37508,37532,37922,38066,38207,38280,38386,38428,38680		
3.47	23786,24110,24606,24817,24839,25045,25109,25229,25586,26229,26882,27154,27359,27564,27879,28230,28329,29278,29790,29839,29902,30183,30492,30811,31011,31309,31809,31940,31962,32046,32047,32084,32203,32657,32715,32810,32835,32959,33207,33311,34265,35028,35060,35099,35169,35272,35820,36176,36410,36714,37243,37263,37992,38074,38145,38504		
3.48	23736,23783,23982,24247,24618,24660,24721,24769,25005,25235,25886,26152,26524,26841,27190,27390,27994,28381,28436,28763,29319,29394,29697,29837,29940,30155,30274,31133,32060,32147,32194,32349,32509,32594,32938,33337,33475,33673,35011,35416,35753,36287,36392,36499,37587,37822,37918,38181,38391,38497,38562		
3.49	23736,24121,24233,24447,24448,24453,24755,24907,24941,25154,25659,25923,26101,26213,26325,26744,26999,27309,27463,27945,28419,28509,28602,29180,29249,29613,29708,30082,30230,31607,31636,31637,32550,32573,33388,33751,34258,34590,34988,35092,35167,35526,36384,36467,36703,36756,37318		
3.5	24294,24360,24504,24513,24753,24846,25025,25062,25748,25769,26099,26212,26265,26277,26652,26993,27812,27814,27961,28009,28090,28571,28766,28773,29125,29851,29930,30005,30322,30710,31200,31440,31718,31945,32598,32695,32766,32925,33248,33325,34004,34701,34811,34877,34963,35273,35301,35649,36081,36235,37317,37380,37455,37870,38156,38281,38435,38463,38547,38684		
3.5100000000000002	24099,24268,24547,24581,24833,24866,25230,25241,25251,25340,25640,25675,25909,26345,26425,26981,27002,27208,27439,27493,27899,27942,28185,28708,28885,29093,29126,29238,29647,29685,29926,30194,30382,30446,30574,30591,30651,31091,31188,31592,31632,32350,32450,32484,32718,33602,33864,34084,34096,34274,34596,34971,35149,35579,35674,35681,36108,36616,36823,37457,37802,37864,38069,38628,38679		
3.52	24097,24215,24221,24428,24458,24792,24868,24890,25461,25856,27292,27671,27715,29026,29067,29312,29417,29505,29553,30153,30174,30204,30205,30437,30625,30717,30960,31150,31633,31915,32171,32177,32470,33795,34257,34730,34974,35214,35596,35677,35780,36306,37426,37616,37914,38420,38451,38472,38550		
3.5300000000000002	23641,23787,24100,24956,25231,25274,25334,25715,25906,25917,26190,26435,26928,27126,27244,27246,27642,28522,28809,29112,29317,29820,29952,30234,31114,31185,31239,31317,31511,31515,32108,32240,32260,32873,33199,33776,34011,34078,34098,34160,34681,34924,35034,35131,35165,35439,35547,35614,35737,35867,35920,36133,36152,36232,36268,37069,37684,37777,37921,38038		
3.54	23750,23946,24238,24361,24461,24644,24686,24709,24863,25096,25736,26552,26868,26947,27014,27034,27795,27864,28451,29274,29365,29752,29787,30070,30132,30198,30202,30272,30389,30394,30718,30750,31260,31319,31344,31348,31351,31390,31941,31988,32056,32527,32893,33976,34079,34407,35418,35807,35895,36276,36368,36527,36583,36609,36731,36819,37169,37494,37628,37708,37715,37748,38024		
3.5500000000000003	23752,23788,24254,24364,25294,25499,26637,27293,27327,27351,27878,27885,28308,28322,28411,28567,29022,29447,29900,30168,30193,30405,30673,30766,31443,31648,31725,32381,32604,32845,33067,33085,33087,33178,33456,33495,34228,34319,34479,34566,34778,34785,34859,34928,35570,36228,36807,37342,37534,37954		
3.56	23679,23908,24394,24411,24561,24637,24935,24998,25243,25259,25321,25755,25779,26003,26237,26315,26381,26850,26864,27417,27588,27864,27981,28057,28195,28364,28703,28792,29070,29620,29670,29881,30295,31003,31074,31179,31436,31444,32116,32552,32618,33477,34158,34340,34398,35220,36618,37032,37138,37219,38065,38139,38287,38502,38642		
3.5700000000000003	23739,23763,24003,24038,24082,24106,24149,24207,24367,24389,24852,25016,25087,25234,25301,25373,25682,25855,26698,27337,27798,28307,28353,28959,29263,29313,29626,29998,30244,30413,30484,30501,30709,30971,31010,31083,31415,31485,31520,31529,31733,32138,32386,32676,33108,33181,33979,34166,34363,34598,34692,35041,35083,35356,35405,36143,36785,36951,37073,38180,38410,38558		
3.58	23635,24217,24356,24375,24728,25686,25770,25903,25981,26097,26215,26293,26591,26753,27116,27421,27725,27773,28262,28314,28547,28843,28935,29061,29292,29589,30303,30308,30438,30797,30860,30925,31273,31992,32256,32387,32512,32651,32734,32800,33033,33147,33314,33930,34383,34624,35073,35325,35361,35525,35528,35564,35758,35774,35805,35938,36253,36455,36597,36723,37791,37978,38023,38348,38377,38384,38678		
3.59	24066,24868,24888,25036,25166,25670,25834,25990,26002,26231,26764,26827,26974,27170,27604,27696,27705,28196,28689,28906,29207,29725,29799,29969,29998,30048,30192,30627,30801,31005,31115,31280,31619,31654,32804,32922,32962,33288,33887,33894,33953,34139,34528,34628,34698,34796,35726,35952,36808,36818,36997,37106,37214,37882,37897,38028,38177,38380,38609		
3.6	23686,23961,23989,24050,24418,25163,25677,25888,26161,26438,26467,26929,27590,27628,27757,28160,28236,28525,28528,29277,29562,29740,30608,31943,31990,32041,32196,32219,32400,32685,32720,33252,33393,33585,33949,34023,34051,34082,34768,34869,35200,35493,36052,36304,36370,36794,36829,37058,37614,37822,37857,38017,38048,38276,38322,38651,38683		
3.61	23693,23837,23899,23956,24018,24161,24380,24731,25277,25621,25658,25741,26260,26552,26868,27029,27205,27614,27881,28487,28505,28590,28895,28912,29982,30375,30406,30566,30770,31041,31242,31936,31949,32120,32457,32814,33041,33522,33856,34122,34404,35072,35283,35648,35699,36022,36274,36477,36477,36593,36690,36909,37576,37696,38098,38252,38541		
3.62	23692,23863,23913,23977,24766,24883,24964,25398,25431,25446,26171,26518,26653,27859,27865,28188,28999,30057,30639,31316,31360,31866,31966,32064,32278,32352,32856,32884,32895,33038,33045,33258,33304,33367,33702,33744,33928,33981,33987,34712,34876,35440,35507,35568,35654,35809,35862,35936,36311,36747,36986,37343,37349,37661,37685,37962,38043		
3.63	23702,23937,24502,24865,25311,25860,26048,26142,26571,27124,27195,27269,27888,28200,28560,28618,28694,29430,29434,29493,29627,29729,29873,31638,31683,31810,31912,32148,32650,32684,32729,32768,32900,33382,33517,33725,33958,34075,34390,35275,35412,37608,37695,37770,37960,38356,38647		
3.64	23888,23900,23909,24147,24205,24287,24309,24391,24642,24749,24873,25042,25122,25703,25804,25894,26017,26532,27261,27310,27490,27807,28092,28100,28125,28218,28896,29166,29229,29331,29424,29827,29927,30350,30617,31171,31182,31192,31259,31437,31466,31705,32601,32673,32870,33031,33345,33503,33744,33896,33958,34219,34478,34819,35046,35091,35228,35425,35567,35641,35691,36009,36122,36661,36845,37287,37858,37984,38011,38185		
3.65	24961,25396,25737,26115,26979,27060,27118,27202,27241,27670,27888,27933,28151,28233,28391,28637,28716,29086,29233,30425,30592,30982,31267,31279,31516,31736,32072,32860,32945,33587,33682,34085,34130,34855,35312,35478,35619,36311,36401,37107,37155,37319,37685,37692,37764,37824,38010,38516,38566		
3.66	24311,24371,25410,25441,25450,25551,25637,25932,26708,26946,27041,27224,27626,27697,28628,29211,29355,30046,30731,31303,31305,31453,31811,32074,32225,32710,32727,32751,35175,35234,35375,35464,36058,36267,36273,36511,36605,36856,37049,38137,38162		
3.67	23745,24027,24079,24236,24551,24616,24930,25192,25238,25409,25478,25493,25514,25651,25802,25889,25912,26313,26406,26995,27984,27992,28006,28327,28797,28815,28846,28899,29502,29509,29852,30278,30603,30782,31062,31488,31712,32154,32690,32722,32942,32952,33037,33191,34104,34514,34607,35289,35317,36046,36095,36839,36927,37366,37596,37683,38689		
3.68	23689,23730,24374,24642,25618,25945,26156,26344,26641,27050,27251,27304,27544,27674,28000,28190,28416,28785,28918,29172,29605,29759,29939,30372,30699,30737,31022,32212,32497,32690,32781,33201,33241,33271,33295,33611,33948,34028,34303,34335,34364,34393,34394,34549,35856,35929,36423,36454,36807,36923,37199,37256,38002,38068,38287		
3.69	24248,24926,25049,25175,25470,25725,25956,25979,26327,26621,26746,26894,26912,27027,27704,27783,27804,27878,28182,28407,28862,29132,29269,29795,30011,30335,30383,30531,31034,31156,31211,31504,31699,32199,32232,32674,33889,34223,34248,34390,34406,34674,34740,34924,35013,37226,37520,38034,38129,38390,38589		
3.7	24016,24126,24197,24546,24591,24759,25714,25772,25897,25926,26033,26144,26332,26567,26895,27165,27233,27806,27951,28029,28137,28179,28392,28538,28635,28636,28876,29511,30241,30779,31081,31447,31454,31750,31798,31872,33000,33293,33550,33919,34141,34401,34535,34808,35614,36165,36272,36612,37154,37440,37470,37600,37621,37670,37712,37964,38153,38355,38390		
3.71	24028,24265,24631,24826,25243,25407,25455,25469,25776,26171,26515,26714,27144,27254,27312,27429,27897,28289,28330,28530,28612,29212,29228,29263,29340,29485,29787,29917,30371,30521,30553,31938,31965,32403,33150,33220,33572,34824,35188,35441,35498,35657,35935,35938,36008,36173,36517,37348,37653,37867,38101,38138,38182		
3.72	23702,23948,24456,24533,24640,24784,24862,24991,25212,26072,26145,26520,26885,27096,27317,27462,27766,27856,27914,28287,28919,29126,29718,30512,31051,31120,31966,32307,32536,32555,32806,33198,33253,33895,34022,34134,34208,35222,35265,35282,35454,35961,36265,36478,36590,36653,37108,38326,38377,38450,38542,38688		
3.73	23646,24154,24673,24697,25222,25262,25406,25692,25966,26059,26088,26389,26560,27216,27551,28171,28568,28602,28899,29995,30263,30983,31035,31922,32426,32824,33773,33804,33875,34058,34479,34544,35781,35790,35823,35897,36119,36300,36881,37004,37057,37715,37721,37978,38070,38227,38335,38347		
3.74	24313,24869,25057,25673,25931,26147,26580,26896,27068,27842,27894,27977,28329,28376,28749,29650,29751,29864,30004,30534,30654,30875,30941,30997,32006,32383,33032,33039,33062,33136,33308,33420,33447,33742,34463,34505,34918,34975,35208,35251,35281,35292,35293,35581,36014,36105,36509,36636,36738,37011,37107,37375,37573,38412		
3.75	23661,23732,23945,24063,24502,24732,24894,25306,25439,25707,25785,26263,26320,26976,27059,27217,27580,27657,27813,28877,28945,29926,30416,30439,30974,31223,31282,31389,32122,32421,32528,32720,32763,32939,33324,33355,33448,33727,33758,34059,34273,34365,35612,35917,38301,38401,38432,38512		
3.7600000000000002	23829,23840,24403,24872,24980,25144,25310,25403,25472,25960,26008,27635,28180,28202,28226,28280,28383,28523,29662,29873,30251,30732,31173,31304,31573,32302,32352,32410,33409,33449,34140,34331,34356,35344,35591,35924,36054,36522,36630,36836,36880,37682,37805,38075		
3.77	24016,24172,24224,24277,24355,24446,24485,24512,24754,24763,24775,24830,25267,25329,25502,25562,26871,27175,27289,27490,27558,27693,27908,28360,29035,29779,29780,30996,31419,31489,31499,31844,32178,32294,32436,32570,32889,33075,33157,33467,34456,34532,34913,34930,35056,35085,35303,35592,36500,36680,36770,37014,37027,37316,38013,38024,38064,38116,38505		
3.7800000000000002	24200,24349,24565,25068,25169,25865,26147,26193,26413,26460,26706,26959,27461,27644,28627,28633,28698,29338,29556,29563,29830,30837,30846,30857,31171,31196,31517,31579,32405,32424,32987,33620,33621,34217,34577,34909,34955,34970,35529,36085,36702,37029,37034,37773,37899,38130,38383		
3.79	23712,23779,23806,24292,24300,24340,24395,24584,24805,24902,25654,26156,27227,27229,27275,27276,27678,27815,28109,28238,28287,28485,28497,28725,29414,29647,29942,30334,30666,30743,30795,31040,31057,31263,31764,31888,31929,31985,32008,32261,32612,32914,33576,33616,34245,34733,35678,36394,36413,36462,36544,36850,36891,36993,37406,37518,38222,38250,38304,38387,38516		
3.8000000000000003	23806,24046,24189,24494,24560,25171,25367,25400,25705,26382,26606,26730,26756,27007,27070,27471,27529,27684,28686,28876,28895,28921,29060,29105,29569,29835,31294,31492,31680,32025,32062,32497,32711,32850,33333,33470,33992,35247,35384,35609,35615,35653,35676,35812,36035,36049,36059,36548,36629,36742,36977,37613,37629,37946,38007,38047,38307,38498		
3.81	24579,24726,24948,24958,25418,25456,25568,25613,26434,26658,27048,27510,27697,27928,28109,28746,28858,29209,29637,30197,30358,30827,30998,31036,31264,31728,32009,32144,32185,32272,32407,32572,32933,33604,33982,34037,34372,34523,34605,34832,35210,35249,35292,35566,35806,36072,36333,36443,36588,37048,37146,37500,37658,37673		
3.8200000000000003	24258,24431,24440,24844,24855,24988,25762,25977,26639,26907,27077,27243,27508,27629,28224,28279,28728,28759,29202,29268,29338,29487,29555,29739,29976,30364,30595,30719,30765,31052,31269,31363,31724,32024,32149,32210,32238,32274,32431,32821,33060,33126,33137,33336,33405,33551,33734,33948,34548,35152,35603,35647,36227,36734,36889,36917,37115,37599,37707,37813,37895,37985,38226,38305		
3.83	23762,23996,24153,25063,26315,26877,27054,27074,27230,27529,27760,27780,28410,28515,28582,28687,29042,29292,29444,30055,30192,30323,30685,30794,30932,31558,31738,31838,32413,32455,32512,32656,32696,32815,32879,32901,33319,34787,34857,35372,35504,35659,35798,36308,36471,36552,36609,36771,36845,37027,37579,37758,37859,37957,37979,38056,38171,38209,38245,38257,38502,38647		
3.84	23890,24628,24738,24762,24895,24927,25271,25337,25590,25719,25758,26180,26651,26670,26778,27041,27555,27608,27687,27808,27965,28001,28037,28568,28925,29144,30496,31032,31194,31352,31496,31845,32104,32224,32859,33039,33626,34127,34260,34598,34751,34848,35453,35659,35796,35918,35959,35966,36071,36488,36744,37016,37056,37100,37420,38131,38201		
3.85	23758,24445,24570,25208,25417,25835,26056,26363,26470,26608,26991,27303,27501,27662,27845,28052,28859,29542,29896,30288,30424,31142,31305,31513,31715,31916,32000,32292,32543,32574,32600,33343,33463,33477,33512,33821,33831,34336,34668,35155,35272,35278,35281,35615,35797,36103,36320,36399,36403,36549,36678,36810,36948,36951,37064,37309,37540,37692,37837,37846,37860,37995,38549,38621		
3.86	23697,23953,23994,24162,24357,24532,24539,24628,24985,25407,25762,26192,26258,26464,26638,27072,27267,27533,27553,27618,28056,28097,28213,28382,28589,28645,29593,29669,29702,30374,30506,30662,31014,31934,31996,32168,32191,32482,32704,32862,33071,33337,33386,33538,33653,33877,33922,34240,34396,34856,35584,35662,35802,35890,36472,36565,36810,36848,36896,36968,37062,37093,37300,37763,37875,38305,38557		
3.87	24111,24241,24839,25114,25542,25845,25911,26051,26889,27532,28699,29089,29294,29307,29401,29639,30597,30621,31133,31205,31269,32451,33034,33186,33543,33574,33681,33730,33775,33902,34297,34311,34556,34754,35116,35285,35457,36357,36526,36612,36775,36787,36993,37012,37568,37659,38222,38635		
3.88	23665,23715,23852,24175,24970,25125,25645,25734,26301,26501,26653,26997,27315,27324,27500,27691,27976,28068,28126,28219,28693,28782,29433,29746,29813,29953,29957,30259,30362,30378,30535,30711,30751,30807,30815,30912,30924,31265,31685,31881,31891,32032,32037,32208,32709,33002,33098,33117,33207,33452,33645,33852,34685,34820,35000,35043,35078,35190,35343,35390,36404,36604,36658,36719,36741,36838,36853,37573,37694,37953,38164,38385		
3.89	23662,23764,23923,24305,24416,24434,24913,25427,25466,25792,26014,26043,26132,26165,26215,26274,26342,26347,26605,26640,26721,26982,27482,27726,27755,27929,27934,28562,28839,29322,29756,29879,30050,30713,31049,31199,31353,31472,31906,31909,32012,32073,32172,32869,33186,33427,33434,34144,34168,34216,34252,34706,34753,34775,35154,36576,36707,37485		
3.9	23695,23820,24021,24306,24454,24988,25531,25723,25738,26160,26242,26929,27164,27339,27389,27489,27815,27873,28128,28132,28458,28811,28887,29038,29529,30176,30188,30472,30796,30934,31043,31157,31230,31621,31664,31719,31983,32221,32688,32775,33230,33694,33975,34080,34121,34254,34765,34994,35265,36641,36686,36930,37013,37065,37365,37666,37901,37964,37969,37999,38620		
3.91	24021,24203,24402,24665,25346,25965,25972,26335,26472,26744,27211,27393,27620,27865,28507,28796,29113,29513,29686,29688,30036,30530,30989,31126,31620,31828,32372,32617,32717,32882,32947,33182,33216,33570,33680,34157,34386,34542,34670,34830,34977,35221,35224,35279,35581,35888,35917,35971,36242,36706,36774,37187,37218,37546,37706,37754,37869,38004,38054,38560,38681		
3.92	24464,24841,25687,25735,25848,26012,26160,26471,27164,27455,27472,27972,28135,28650,28943,29407,29717,29811,29977,30018,30110,30249,30611,31640,31870,32065,32098,32233,32712,32824,32857,33935,33955,34105,34155,34738,34770,34839,35188,35545,35826,36742,36976,37510,38199,38315,38624		
3.93	24108,24413,24798,25270,25298,25320,25775,25810,26114,26429,26475,27231,27504,27633,28034,28470,28513,28556,28580,29018,29038,29554,29658,29755,29945,29978,30047,30314,30889,30960,31224,31284,31285,31339,31529,31754,32072,32127,32160,32278,32363,32418,32576,32661,32719,32904,33060,33097,33245,33552,33643,34526,34684,35153,35248,35512,35546,35987,36581,36740,37103,37734,37852,38072,38228,38275,38312		
3.94	24024,25021,25094,25416,25781,26318,26414,26663,27000,27215,27226,27654,28045,28077,28587,28684,28894,28961,29129,29426,30545,31700,32195,32722,33496,33859,33916,34733,35121,35140,35276,35690,36117,36191,36447,36587,36697,37000,37188,37344,37347,37530,37887,38118,38140,38338,38343,38661		
3.95	24341,24460,24622,24646,24969,25517,25784,25933,25978,26777,26817,27302,27702,27847,28014,28428,28700,29592,29609,29680,30095,30105,30494,30556,30915,31043,31178,31185,31542,31680,31691,31893,32264,32389,32556,32829,32856,33072,33532,33547,33564,33615,34157,34180,34900,35343,35683,36172,36859,37002,37349,37393,37635,37731,37755,37762,37787,38112		
3.96	23853,24229,24526,24644,24727,24741,25177,25899,26563,27190,27211,27438,27476,27656,27836,27849,27900,28023,28076,28234,28332,28491,28714,28838,28990,29031,29119,29259,29274,29437,29543,29561,29986,30225,30677,30824,31375,32153,32522,33379,33430,33493,34700,35102,35154,35496,35606,35924,35942,36316,36957,37073,37186,37813,38394,38438,38569		
3.97	23854,23885,23928,23951,24243,24274,25493,26677,26795,26901,27248,27728,28129,28229,28231,28426,28810,29936,30003,30044,30117,30262,30401,30668,30883,31040,31145,31336,31635,31913,31942,32027,32975,33023,33187,33380,33770,34420,34610,35360,35513,35533,35631,36435,36654,37145,37355,37572,37705,37816,38073,38128,38446,38566		
3.98	24193,25038,25383,26136,26216,26229,26246,27605,28541,28886,29040,29189,29657,29754,30072,30215,30459,30752,31008,31203,31454,31942,32016,32215,32400,32454,32623,32912,32961,33014,33161,33718,33879,33881,33894,34103,34215,34600,35385,35503,35519,35622,36240,36622,36773,36832,36956,37236,37266,37321,37730,37966,38500,38616		
3.99	23695,23703,23737,24235,24317,24885,24925,25119,25746,25941,26694,26823,26858,26903,27133,27157,27253,27262,27940,28040,28164,28450,29008,29439,29583,29601,29617,29677,29875,29971,30853,31105,31111,31347,31737,31929,32182,32187,32560,33373,33402,33419,33504,33783,34330,34736,35106,35378,35488,35575,35998,36000,36041,36163,36218,36413,36547,36659,37105,37890,38465,38561		
4.0	23767,23987,24319,24409,24426,24490,24585,24819,25044,25225,25600,25659,26590,27090,27102,27112,27840,28223,28244,28374,28510,28669,28792,29519,29581,30038,30065,30175,30285,30310,31085,31140,31537,32244,32812,33259,33275,33582,33990,34204,34347,34530,34616,34705,34709,35327,35994,36083,36135,36171,36353,36520,36850,36874,37888,38212,38303		
4.01	23813,23881,24183,24286,24303,24372,24756,24760,24763,25051,25162,25205,25508,25661,26035,26060,26131,26734,27152,27292,27499,27570,27638,28031,28083,28220,28308,28379,28535,28808,28884,29095,29118,29632,30586,30631,30668,30849,30863,31327,31425,31797,32239,32416,32456,32499,32911,33165,33289,33351,33446,33625,33892,34059,34327,34512,34784,34951,35025,35122,35238,35306,35405,35499,35908,36036,36104,36138,36248,36506,36789,36865,37174,37338,37387,37577,37742,38581,38592		
4.0200000000000005	23842,23982,24101,24194,24596,24836,24968,24981,25276,25347,25564,25799,25869,26183,27031,27547,28082,28300,28326,28378,28438,28835,28985,29039,29389,29391,29455,29564,29722,29745,29940,29976,30282,30547,30599,30641,30642,30898,31398,31405,31766,32501,32943,33089,33141,33197,33303,34209,34910,35693,35984,36091,36251,36266,36339,37092,37254,37612,37648,37720,37854,37917,38144,38338,38595,38622,38640		
4.03	23645,23834,23874,24419,24638,24757,24963,25000,25281,25663,25828,25871,25944,26034,26240,26240,26267,26812,26971,27009,27066,27189,27403,27655,28071,28243,28499,28806,29025,29127,29201,29251,30001,30085,31101,31321,31491,32042,32707,33114,33178,33277,33279,33320,33391,33529,33756,34337,34663,34753,34926,35339,35346,35368,35635,35948,36181,36225,36297,36553,36675,37005,37261,37331,37959,38092,38523		
4.04	24170,24495,24557,24749,24858,24915,24944,25111,25425,25680,25957,26473,26516,26533,26581,26680,26870,27374,27769,28433,28793,29474,30045,30206,30353,30652,31575,31710,32106,32311,32434,32887,33050,33102,33284,33937,34226,34538,34555,34666,35473,35677,35767,35780,36354,36688,36703,37088,37853,37892,38021,38659		
4.05	24193,24196,24240,24304,24489,24621,25111,25681,25745,25936,25940,26893,27212,27326,28298,28575,28668,28705,28938,29525,29627,29770,29903,30125,30246,30273,30609,30745,30969,30980,31404,32102,32220,32880,32966,33474,34251,34452,34512,34644,34813,35193,35345,36421,36510,36545,37165,37551,37815,37896,38263		
4.0600000000000005	23886,24890,25206,25424,25633,25803,25827,26356,26404,26435,27595,27609,27996,28699,28870,28877,28996,29021,29152,29399,30762,31259,31457,31721,32050,32592,32818,33115,33338,34599,34662,34931,35089,35189,35217,35610,36348,36567,36670,36674,36949,37140,37155,37165,37535,37933,38255,38462,38601,38645		
4.07	23818,24246,24390,24450,24866,25084,25222,25403,25877,25913,25921,25991,26056,26234,26306,26444,27329,27437,27844,27995,28114,28241,28251,28316,28355,28605,28881,29506,29877,29990,30049,30184,30242,30568,31018,31057,31104,31238,32241,32283,32432,32652,32782,33044,33088,33470,33562,33934,34350,34513,34652,34915,35026,35250,35354,35751,35801,35914,35947,36407,36801,36860,37045,37342,37610,38487		
4.08	23684,24603,24799,25371,25665,25740,26817,26869,26930,26987,27221,27258,27906,28803,29362,30301,31261,31521,31535,32134,32537,33095,33420,33511,33521,33670,34187,34745,35128,35157,35352,35630,35636,36061,36169,36550,36664,37372,38040,38064,38100,38200,38562,38638		
