interval	nofgenes_jan	nofgenes_gte	nofgenes_tcgan
2.96	3423	4016	661
2.97	3445	4053	664
2.98	3468	4079	666
2.99	3487	4108	668
3.00	3509	4124	669
3.01	3525	4149	672
3.02	3539	4173	674
3.03	3562	4194	675
3.04	3579	4207	680
3.05	3600	4229	681
3.06	3623	4246	682
3.07	3644	4270	685
3.08	3660	4300	689
3.09	3680	4325	690
3.10	3695	4353	692
3.11	3719	4381	695
3.12	3743	4406	699
3.13	3766	4431	702
3.14	3779	4458	704
3.15	3801	4485	706
3.16	3827	4518	708
3.17	3848	4546	709
3.18	3869	4572	715
3.19	3891	4599	715
3.20	3913	4625	717
3.21	3942	4654	718
3.22	3961	4674	718
3.23	3986	4704	723
3.24	4004	4734	723
3.25	4022	4771	725
3.26	4047	4795	727
3.27	4072	4827	728
3.28	4088	4862	734
3.29	4108	4881	738
3.30	4125	4905	741
3.31	4142	4935	743
3.32	4166	4966	745
3.33	4189	4999	745
3.34	4206	5021	747
3.35	4231	5061	748
3.36	4249	5083	751
3.37	4273	5119	753
3.38	4294	5151	757
3.39	4316	5183	761
3.40	4338	5214	762
3.41	4356	5236	765
3.42	4377	5260	768
3.43	4397	5296	770
3.44	4415	5322	772
3.45	4436	5347	774
3.46	4460	5369	778
3.47	4482	5396	778
3.48	4501	5431	780
3.49	4529	5453	781
3.50	4550	5478	782
3.51	4569	5517	784
3.52	4595	5551	789
3.53	4618	5576	790
3.54	4642	5607	795
3.55	4665	5645	797
3.56	4680	5678	799
3.57	4696	5713	803
3.58	4720	5749	805
3.59	4750	5784	807
3.60	4772	5820	808
3.61	4793	5851	813
3.62	4821	5878	815
3.63	4844	5909	818
3.64	4864	5933	821
3.65	4886	5978	824
3.66	4905	6006	826
3.67	4917	6032	829
3.68	4943	6058	834
3.69	4970	6086	834
3.70	4988	6117	836
3.71	5009	6154	837
3.72	5030	6183	840
3.73	5052	6210	843
3.74	5072	6234	847
3.75	5092	6266	849
3.76	5107	6298	850
3.77	5118	6331	850
3.78	5139	6368	851
3.79	5156	6395	854
3.80	5183	6429	854
3.81	5215	6455	854
3.82	5239	6483	856
3.83	5266	6520	856
3.84	5286	6560	858
3.85	5307	6594	860
3.86	5326	6637	862
3.87	5349	6679	864
3.88	5363	6713	864
3.89	5398	6747	867
3.90	5421	6782	867
3.91	5439	6822	870
3.92	5459	6859	874
3.93	5478	6886	875
3.94	5499	6931	876
3.95	5515	6962	877
3.96	5541	6991	880
3.97	5558	7028	883
3.98	5579	7059	885
3.99	5600	7091	886
4.00	5628	7125	886
4.01	5647	7161	888
4.02	5677	7203	895
4.03	5705	7241	896
4.04	5734	7275	900
4.05	5749	7310	902
4.06	5765	7345	902
4.07	5789	7370	903
4.08	5817	7407	904
4.09	5830	7435	907
4.10	5846	7457	913
4.11	5870	7495	918
4.12	5884	7525	919
4.13	5909	7557	923
4.14	5925	7591	929
4.15	5948	7626	932
4.16	5967	7666	934
4.17	5984	7700	935
4.18	6004	7736	938
4.19	6028	7759	941
4.20	6049	7798	943
4.21	6071	7818	946
4.22	6088	7845	949
4.23	6112	7883	956
4.24	6125	7915	959
4.25	6149	7939	963
4.26	6172	7966	966
4.27	6189	7996	969
4.28	6214	8042	973
4.29	6238	8080	974
4.30	6266	8101	974
4.31	6294	8126	976
4.32	6322	8162	978
4.33	6345	8195	979
4.34	6366	8224	981
4.35	6397	8256	985
4.36	6425	8292	987
4.37	6457	8333	990
4.38	6477	8372	992
4.39	6502	8401	995
4.40	6524	8425	996
4.41	6555	8455	999
4.42	6570	8487	1000
4.43	6586	8525	1002
4.44	6611	8548	1005
4.45	6629	8584	1006
4.46	6656	8623	1012
4.47	6680	8655	1017
4.48	6706	8686	1019
4.49	6730	8713	1021
4.50	6748	8752	1022
4.51	6767	8788	1023
4.52	6790	8812	1024
4.53	6811	8838	1026
4.54	6839	8864	1028
4.55	6870	8897	1032
4.56	6881	8936	1033
4.57	6895	8973	1033
4.58	6913	9013	1035
4.59	6933	9054	1036
4.60	6955	9086	1039
4.61	6987	9120	1041
4.62	7013	9156	1047
4.63	7033	9193	1049
4.64	7056	9224	1050
4.65	7077	9267	1051
4.66	7094	9297	1053
4.67	7114	9340	1053
4.68	7126	9379	1055
4.69	7147	9417	1057
4.70	7166	9439	1059
4.71	7186	9468	1059
4.72	7202	9491	1061
4.73	7229	9513	1066
4.74	7246	9548	1069
4.75	7271	9566	1073
4.76	7303	9595	1073
4.77	7336	9623	1077
4.78	7361	9651	1078
4.79	7379	9676	1081
4.80	7407	9713	1083
4.81	7425	9741	1088
4.82	7453	9768	1091
4.83	7485	9796	1093
4.84	7497	9832	1097
4.85	7514	9856	1099
4.86	7544	9884	1100
4.87	7566	9910	1104
4.88	7582	9945	1107
4.89	7602	9989	1109
4.90	7625	10020	1110
4.91	7646	10048	1115
4.92	7664	10081	1117
4.93	7684	10119	1123
4.94	7700	10144	1127
4.95	7721	10164	1128
4.96	7743	10179	1129
4.97	7756	10205	1133
4.98	7781	10234	1133
4.99	7798	10267	1135
5.00	7827	10299	1138
5.01	7855	10329	1142
5.02	7879	10348	1143
5.03	7899	10382	1145
5.04	7921	10419	1147
5.05	7942	10453	1149
5.06	7967	10483	1156
5.07	7994	10509	1158
5.08	8019	10541	1163
5.09	8044	10567	1168
5.10	8070	10601	1171
5.11	8089	10622	1178
5.12	8112	10647	1180
5.13	8139	10671	1181
5.14	8172	10694	1185
5.15	8198	10724	1187
5.16	8222	10745	1190
5.17	8252	10765	1190
5.18	8279	10789	1193
5.19	8313	10812	1197
5.20	8338	10845	1201
5.21	8361	10875	1203
5.22	8387	10905	1206
5.23	8408	10924	1211
5.24	8438	10950	1212
5.25	8461	10979	1217
5.26	8487	11009	1219
5.27	8519	11037	1224
5.28	8535	11056	1227
5.29	8554	11077	1232
5.30	8578	11104	1238
5.31	8602	11146	1242
5.32	8618	11173	1244
5.33	8642	11193	1249
5.34	8663	11213	1257
5.35	8691	11244	1260
5.36	8712	11271	1263
5.37	8743	11293	1266
5.38	8763	11314	1269
5.39	8790	11336	1273
5.40	8815	11360	1274
5.41	8842	11386	1279
5.42	8867	11411	1284
5.43	8883	11432	1285
5.44	8900	11462	1286
5.45	8934	11484	1290
5.46	8956	11514	1297
5.47	8982	11541	1299
5.48	9008	11574	1302
5.49	9033	11598	1305
5.50	9059	11623	1309
5.51	9085	11643	1313
5.52	9110	11662	1316
5.53	9139	11684	1320
5.54	9169	11706	1324
5.55	9189	11727	1331
5.56	9214	11743	1337
5.57	9244	11766	1338
5.58	9268	11788	1340
5.59	9292	11808	1344
5.60	9320	11826	1349
5.61	9347	11853	1351
5.62	9368	11870	1359
5.63	9391	11887	1363
5.64	9416	11909	1369
5.65	9438	11930	1374
5.66	9463	11951	1377
5.67	9476	11975	1381
5.68	9499	12003	1385
5.69	9523	12026	1388
5.70	9547	12048	1390
5.71	9574	12067	1392
5.72	9592	12097	1395
5.73	9610	12118	1400
5.74	9640	12139	1402
5.75	9673	12156	1404
5.76	9698	12174	1409
5.77	9721	12195	1410
5.78	9756	12212	1414
5.79	9774	12247	1417
5.80	9792	12274	1422
5.81	9807	12303	1428
5.82	9828	12323	1433
5.83	9850	12340	1434
5.84	9874	12358	1438
5.85	9897	12377	1440
5.86	9911	12389	1444
5.87	9934	12407	1445
5.88	9962	12419	1455
5.89	9988	12433	1461
5.90	10017	12454	1466
5.91	10036	12476	1474
5.92	10060	12490	1475
5.93	10089	12512	1477
5.94	10109	12532	1480
5.95	10139	12545	1484
5.96	10159	12572	1490
5.97	10184	12588	1493
5.98	10210	12609	1497
5.99	10227	12626	1501
6.00	10248	12643	1502
6.01	10268	12658	1508
6.02	10287	12672	1512
6.03	10309	12688	1513
6.04	10336	12709	1521
6.05	10355	12721	1522
6.06	10388	12738	1526
6.07	10414	12760	1529
6.08	10438	12772	1532
6.09	10451	12791	1535
6.10	10472	12807	1539
6.11	10490	12824	1544
6.12	10511	12847	1547
6.13	10530	12865	1549
6.14	10546	12876	1555
6.15	10563	12895	1564
6.16	10589	12916	1571
6.17	10609	12934	1578
6.18	10627	12957	1581
6.19	10653	12973	1588
6.20	10676	12989	1596
6.21	10693	13001	1601
6.22	10715	13024	1606
6.23	10732	13037	1613
6.24	10751	13051	1615
6.25	10770	13063	1618
6.26	10791	13079	1625
6.27	10819	13091	1626
6.28	10835	13104	1632
6.29	10853	13120	1636
6.30	10873	13138	1638
6.31	10888	13151	1640
6.32	10906	13167	1644
6.33	10928	13178	1652
6.34	10955	13188	1655
6.35	10970	13205	1660
6.36	10985	13220	1667
6.37	11017	13234	1672
6.38	11033	13252	1676
6.39	11062	13264	1681
6.40	11078	13277	1688
6.41	11099	13292	1693
6.42	11122	13314	1700
6.43	11144	13324	1704
6.44	11160	13337	1709
6.45	11179	13354	1712
6.46	11195	13366	1718
6.47	11215	13376	1725
6.48	11226	13391	1733
6.49	11253	13402	1741
6.50	11276	13415	1744
6.51	11294	13421	1747
6.52	11319	13436	1749
6.53	11339	13450	1757
6.54	11358	13460	1763
6.55	11387	13470	1773
6.56	11408	13481	1776
6.57	11427	13498	1781
6.58	11451	13512	1784
6.59	11472	13525	1788
6.60	11490	13536	1790
6.61	11509	13543	1794
6.62	11534	13558	1797
6.63	11547	13569	1807
6.64	11568	13583	1810
6.65	11590	13592	1815
6.66	11609	13604	1822
6.67	11631	13621	1829
6.68	11648	13635	1836
6.69	11667	13649	1841
6.70	11684	13657	1850
6.71	11695	13667	1858
6.72	11715	13684	1864
6.73	11733	13695	1870
6.74	11756	13705	1874
6.75	11780	13717	1879
6.76	11814	13727	1884
6.77	11832	13736	1886
6.78	11848	13742	1891
6.79	11872	13749	1897
6.80	11893	13754	1900
6.81	11913	13757	1903
6.82	11931	13767	1905
6.83	11949	13777	1909
6.84	11963	13785	1910
6.85	11978	13792	1916
6.86	12003	13798	1921
6.87	12023	13804	1926
6.88	12036	13814	1936
6.89	12049	13823	1943
6.90	12063	13833	1951
6.91	12082	13842	1958
6.92	12105	13849	1965
6.93	12125	13860	1968
6.94	12143	13873	1972
6.95	12166	13880	1982
6.96	12183	13888	1985
6.97	12202	13897	1994
6.98	12223	13913	2003
6.99	12245	13919	2013
7.00	12258	13930	2019
7.01	12275	13943	2025
7.02	12289	13950	2030
7.03	12308	13963	2035
7.04	12317	13967	2042
7.05	12332	13977	2054
7.06	12359	13989	2055
7.07	12369	13996	2067
7.08	12387	14002	2072
7.09	12406	14013	2076
7.10	12421	14018	2079
7.11	12434	14029	2083
7.12	12450	14042	2089
7.13	12469	14056	2100
7.14	12481	14063	2109
7.15	12498	14068	2116
7.16	12516	14073	2123
7.17	12530	14081	2130
7.18	12544	14087	2142
7.19	12557	14093	2144
7.20	12573	14098	2149
7.21	12592	14104	2151
7.22	12608	14109	2161
7.23	12631	14117	2169
7.24	12643	14122	2177
7.25	12661	14128	2183
7.26	12677	14130	2190
7.27	12697	14136	2199
7.28	12711	14144	2204
7.29	12723	14148	2211
7.30	12741	14155	2215
7.31	12761	14162	2224
7.32	12776	14165	2229
7.33	12797	14174	2236
7.34	12812	14180	2241
7.35	12830	14190	2249
7.36	12845	14197	2253
7.37	12860	14205	2260
7.38	12875	14211	2268
7.39	12894	14219	2275
7.40	12908	14229	2280
7.41	12915	14233	2285
7.42	12931	14236	2291
7.43	12947	14238	2298
7.44	12961	14242	2306
7.45	12976	14250	2309
7.46	12985	14255	2313
7.47	13001	14263	2320
7.48	13010	14270	2327
7.49	13028	14271	2334
7.50	13047	14279	2343
7.51	13070	14285	2352
7.52	13082	14290	2368
7.53	13097	14296	2377
7.54	13111	14300	2380
7.55	13121	14308	2393
7.56	13132	14312	2402
7.57	13140	14319	2409
7.58	13160	14325	2415
7.59	13177	14328	2419
7.60	13195	14335	2426
7.61	13210	14339	2432
7.62	13218	14345	2438
7.63	13229	14346	2443
7.64	13253	14349	2449
7.65	13270	14352	2459
7.66	13279	14356	2471
7.67	13298	14363	2479
7.68	13309	14372	2487
7.69	13321	14377	2497
7.70	13333	14383	2508
7.71	13346	14389	2520
7.72	13364	14393	2531
7.73	13374	14398	2541
7.74	13389	14404	2546
7.75	13410	14409	2555
7.76	13426	14414	2561
7.77	13432	14419	2574
7.78	13443	14426	2580
7.79	13457	14429	2591
7.80	13466	14435	2596
7.81	13479	14438	2607
7.82	13490	14441	2614
7.83	13497	14445	2619
7.84	13511	14451	2631
7.85	13524	14453	2641
7.86	13537	14457	2647
7.87	13552	14462	2655
7.88	13560	14466	2666
7.89	13575	14469	2672
7.90	13586	14473	2681
7.91	13597	14475	2689
7.92	13614	14477	2693
7.93	13622	14482	2702
7.94	13626	14488	2708
7.95	13640	14492	2723
7.96	13648	14495	2735
7.97	13662	14499	2744
7.98	13675	14502	2756
7.99	13687	14514	2763
8.00	13698	14518	2774
8.01	13713	14524	2780
8.02	13725	14530	2796
8.03	13739	14537	2803
8.04	13765	14541	2808
8.05	13775	14545	2818
8.06	13786	14551	2826
8.07	13798	14553	2837
8.08	13809	14558	2851
8.09	13821	14561	2862
8.10	13827	14566	2876
8.11	13838	14568	2891
8.12	13850	14573	2903
8.13	13862	14577	2917
8.14	13872	14580	2928
8.15	13885	14582	2938
8.16	13889	14585	2952
8.17	13900	14586	2958
8.18	13909	14588	2962
8.19	13915	14593	2974
8.20	13929	14597	2985
8.21	13938	14599	2995
8.22	13946	14600	3007
8.23	13953	14601	3022
8.24	13957	14603	3035
8.25	13965	14605	3048
8.26	13976	14610	3066
8.27	13983	14615	3073
8.28	13997	14622	3083
8.29	14008	14625	3090
8.30	14014	14630	3099
8.31	14019	14631	3109
8.32	14032	14635	3116
8.33	14041	14640	3124
8.34	14044	14644	3135
8.35	14055	14649	3145
8.36	14062	14652	3151
8.37	14071	14656	3163
8.38	14088	14656	3174
8.39	14091	14657	3187
8.40	14098	14661	3205
8.41	14108	14665	3218
8.42	14117	14670	3228
8.43	14125	14671	3244
8.44	14137	14675	3260
8.45	14145	14678	3279
8.46	14150	14678	3294
8.47	14159	14681	3307
8.48	14166	14685	3319
8.49	14177	14690	3329
8.50	14181	14692	3339
8.51	14185	14693	3352
8.52	14198	14697	3365
8.53	14204	14698	3378
8.54	14216	14700	3388
8.55	14231	14702	3406
8.56	14241	14703	3416
8.57	14252	14704	3431
8.58	14261	14707	3449
8.59	14274	14713	3462
8.60	14279	14717	3483
8.61	14289	14722	3499
8.62	14297	14722	3516
8.63	14305	14727	3527
8.64	14312	14729	3545
8.65	14324	14732	3561
8.66	14328	14733	3574
8.67	14337	14736	3591
8.68	14344	14740	3600
8.69	14351	14741	3618
8.70	14355	14745	3638
8.71	14359	14747	3652
8.72	14373	14748	3674
8.73	14380	14749	3693
8.74	14386	14753	3714
8.75	14398	14755	3724
8.76	14404	14758	3736
8.77	14408	14760	3749
8.78	14415	14761	3769
8.79	14423	14764	3787
8.80	14427	14767	3799
8.81	14437	14768	3809
8.82	14443	14770	3820
8.83	14446	14770	3843
8.84	14453	14771	3856
8.85	14456	14772	3866
8.86	14458	14775	3883
8.87	14464	14778	3895
8.88	14466	14782	3914
8.89	14468	14782	3926
8.90	14474	14787	3943
8.91	14476	14789	3961
8.92	14485	14790	3973
8.93	14495	14794	3988
8.94	14498	14797	4010
8.95	14503	14798	4027
8.96	14512	14799	4046
8.97	14520	14800	4069
8.98	14524	14800	4090
8.99	14534	14803	4107
9.00	14540	14807	4127
9.01	14547	14807	4148
9.02	14550	14809	4166
9.03	14556	14811	4185
9.04	14556	14815	4212
9.05	14565	14816	4234
9.06	14568	14818	4252
9.07	14574	14821	4272
9.08	14579	14821	4290
9.09	14581	14824	4311
9.10	14585	14825	4328
9.11	14590	14825	4343
9.12	14595	14828	4362
9.13	14601	14831	4381
9.14	14608	14833	4400
9.15	14616	14835	4418
9.16	14620	14835	4443
9.17	14625	14837	4464
9.18	14629	14839	4486
9.19	14632	14843	4506
9.20	14642	14845	4525
9.21	14643	14845	4543
9.22	14650	14846	4561
9.23	14658	14847	4575
